code,name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
522281,RAMRAT,B,151.90,155.90,151.90,154.00,3549,5.45,143,
505750,JOSTS,X,535.00,555.00,515.00,526.55,1026,5.41,47,
538868,CSL,X,39.99,41.50,39.80,40.66,13414,5.36,41,
531069,VIJSOLX,XT,678.00,688.00,640.70,683.00,801,5.35,113,
505163,ZFSTEERING,X,411.00,415.00,409.40,410.00,1294,5.33,33,
500298,NATPEROX,X,1428.40,1435.00,1410.00,1434.00,375,5.33,44,
539742,SIMBHALS,B,20.15,21.00,20.15,20.16,26053,5.33,42,
502180,SHREDIGCEM,B,64.50,65.59,64.00,65.52,8163,5.30,196,
538882,EMERALD,X,31.50,31.50,28.50,29.93,17913,5.30,50,
511116,QUADRANT,X,0.88,0.90,0.85,0.86,611355,5.29,520,
531540,MAINFRA,X,94.30,97.99,94.00,94.56,5506,5.28,39,
530011,MANGCHEFER,B,73.05,75.15,73.05,74.20,7106,5.27,214,
511768,MASTERTR,X,128.15,128.15,122.00,125.45,4273,5.27,34,
533056,VEDAVAAG,X,41.00,43.40,40.20,42.80,12504,5.27,86,
500429,UNIPHOS,B,163.80,166.50,159.30,159.70,3257,5.25,113,
530025,SAMYAKINT,XT,20.86,22.25,20.80,22.25,24905,5.23,14,
531175,BLSINFOTE,X,2.17,2.17,2.03,2.11,249005,5.23,622,
539122,BODHTREE,X,8.98,9.35,8.55,8.64,58666,5.21,122,
502986,VTL,A,307.75,311.80,307.75,310.25,1672,5.18,146,
520075,SAMKRG,X,137.05,142.00,137.05,139.25,3685,5.18,27,
532952,NAHARCAP,B,250.85,252.10,243.65,246.25,2111,5.17,288,
533088,MHRIL,A,274.20,275.70,272.50,275.25,1874,5.14,111,
512097,SAICOM,X,0.49,0.50,0.47,0.47,1066511,5.10,1784,
533320,JUBLINDS,B,365.60,367.20,356.40,367.00,1398,5.08,197,
539841,LANCER,B,170.05,174.55,170.05,171.00,2948,5.08,334,
